,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDF1,WSF1,WDFM,WSFM
0,1979.0,4.589536431265754,3.2544563971255696,0.5824972785499102,0.5562629601190012,0.25551011399340445,23.721390548896977,13.297943815681606,18.479443350439592,54.413433755745785,32.73631977134548,8.159361471861471,1.4191436251920122,,222.05152387413582,45.7176997498426,0.04051714051714052,4.301198136912422,0.13299960442817588,17.75220015934302,5.099687442544585,1.7776054254625686,29.85568450639879,187.58567783094097,764.2963034796588,139.16808247951104,10.947545454545455,24.617590476190475,15.143851065815351,22.923542412542414,7.395177972499401,2409.271770334928,229.78309409888357,14.849973418394471,,,,2.435956790123457,18914.18181818182,,,,,81.26363636363637,,,,,,,,,,223.50649350649354,10.430389610389609,196.3636363636364,14.272727272727272
0,1980.0,4.118226529635507,2.830198313739461,0.5295614679031138,0.3628361712361713,0.1672026936026936,14.6784911976912,7.1937151515151525,16.99662722702623,49.82364020504295,18.18256228956229,6.644079685746352,1.668109668109668,,172.76403104351792,41.71188482721351,0.026684074303121922,4.223649906090382,0.06444524930580706,16.751811656692137,4.374087344704875,2.0284628026294693,30.167224435590974,180.19682615629986,678.0106460882113,141.75466570945656,9.22323428731762,21.06412457912458,14.960520838723028,22.570245796036634,7.324990735014543,2552.9722727272724,226.4253647586981,14.976616161616164,,,,3.0555555555555554,19954.36363636364,,,,,86.44545454545454,,,,,,,,,,230.63636363636365,9.516233766233766,192.27272727272728,13.609090909090911
0,1981.0,4.635107872704275,3.2914105246367455,0.6510813237034317,0.43723250955393805,0.16103271728271726,13.732813119420264,7.592139110889111,19.503917980762452,60.75164969563427,15.783224414474414,6.242992424242424,1.4277682157200229,,272.3704659375712,57.91530837529817,0.014293960008245723,3.915977559855111,0.051976911976911976,17.869823011455665,6.5199795329387165,2.518562358276644,30.68430896427835,186.46580122655124,628.6222014878325,132.07575305533467,10.49710710277377,23.80214802789803,15.822225502841828,23.6365768619136,8.034900496215801,2592.252398989899,237.21600621600626,14.519067599067597,,,,2.46875,18926.727272727272,,,,,80.98181818181818,,,,,,,,,,237.5,8.66375,241.3636363636364,13.681818181818182
0,1982.0,5.49873032783189,3.9477466254810003,0.8524206912878788,0.7783835168236282,0.27787773153795253,35.97234210388806,16.06987515247184,26.395504881403316,74.2013021678842,39.15278814187654,4.005931938431938,1.976802096985583,,162.48445427588285,39.153530924680474,0.05092518101367658,4.882824611475054,0.21364997088681295,15.667452564492041,4.118181501734133,1.4281018146062392,28.87794082744741,169.65882323232321,721.0818637785825,152.57109421704288,10.370457451499117,23.936649991983323,14.353640497771078,21.647446396926657,7.042104636759503,2428.69125,226.0569985569986,16.57629148629149,28.16969696969697,20.336363636363636,24.775757575757577,2.2083333333333335,17877.272727272728,,,,,76.89090909090909,23.057575757575755,22.492424242424242,25.21666666666667,16.25151515151515,17.056060606060605,19.042424242424243,19.324242424242428,19.965151515151515,22.118181818181817,206.91919191919192,8.368181818181817,198.0,15.07
0,1983.0,7.2871039301013125,5.480770400338464,1.1534989007502097,0.7334601026314509,0.33969747779606935,37.94511517664607,13.629069467308902,26.89296838995792,104.33851537060961,39.692250574151984,4.533493094207379,2.1507352941176467,,183.0755123891981,41.715282216575694,0.030632411067193673,3.89002086078173,0.20965650291737248,15.650170180061489,4.166882646339168,2.5972229907773383,28.529854350963046,151.8134932027037,695.4409070650204,143.53657649476128,9.975813428401663,22.657582887700535,14.779353260869565,21.609600147437106,7.919045909404605,2421.460909850384,212.64893836322406,16.175452484023914,25.36363636363636,20.76363636363636,23.236363636363635,1.861111111111111,17501.454545454544,,,,,74.26363636363635,22.727272727272727,22.863636363636363,24.1,17.990909090909092,19.49090909090909,20.445454545454545,20.663636363636364,21.318181818181817,22.5,231.36363636363637,8.481818181818182,188.1818181818182,13.636363636363638
0,1984.0,4.750050940602121,3.280666715902936,0.4304908856089959,0.6320523158758452,0.24796110363337256,18.68165973460091,10.131243103301927,14.285105147841369,47.00396231721035,24.43385232881031,3.670055780539652,2.387962962962963,2.833766233766234,238.89219332255047,57.2103162055336,0.096501976284585,4.60521801869628,0.21988220716481585,17.165874427504864,5.882448867557564,2.23009172470042,30.044473351527703,184.4199003189793,650.3791664554958,142.33914561766736,10.25214349376114,24.121379679144383,15.334850821883428,22.893639362569797,7.680750144300145,2628.8703748006383,244.88600288600287,15.890064935064933,25.56363636363637,20.33636363636364,23.154545454545453,2.8280423280423284,18375.545454545456,,,,,,22.62727272727273,22.73636363636364,24.454545454545453,18.09090909090909,19.09090909090909,20.14545454545454,20.49090909090909,21.081818181818186,22.31818181818182,232.57575757575756,8.687012987012988,249.54545454545453,13.5
0,1985.0,3.666016538118964,2.4166565539880906,0.3951388159609184,0.780258856789469,0.27515206047182794,28.475563107122877,17.728281464982047,15.534396438392395,37.227825482394216,39.1606114089399,4.527015999103377,1.787111111111111,2.6417207792207797,183.41489526214525,47.534759700176366,0.100328683662017,5.105168134334802,0.3058621933621934,17.203903899772545,5.282881019639493,1.486666312082979,30.435313073226204,178.41594696969696,707.8707540502427,144.39860156818492,10.254098417207793,24.59537554112554,14.906379093129095,22.63260009905349,7.1927641879725215,2479.352356902357,222.52922558922558,14.848410774410773,25.863636363636363,20.96363636363636,23.29090909090909,2.4692460317460316,18350.727272727272,,,,,,22.81818181818182,22.27272727272728,24.145454545454548,17.936363636363637,18.43636363636364,19.827272727272728,20.327272727272728,20.3,21.86363636363637,182.0,7.84,225.0,13.090909090909092
0,1986.0,4.078001242584576,2.9744100729517395,0.6353097442680776,0.39411126187245593,0.1702088044625358,15.993728328056685,6.893555706316899,18.548239558281225,58.30401335778418,17.778196140509575,5.547785518879269,1.5788756613756616,2.4236868686868687,167.45364147064447,46.20540821349084,0.014319190696309339,3.801978012571233,0.10312874507789761,17.388652108249566,4.992991354220168,2.7846943557854575,30.43856591031379,172.34097081930415,635.6551005837596,128.26392406204906,10.58430783279221,24.616275365259742,15.478158555897963,22.92390975126568,7.990784418030181,2492.9704545454547,232.35064935064932,14.823827561327564,25.90909090909092,21.37272727272727,23.536363636363635,1.8326330532212884,17836.166666666664,,,,,,23.63636363636364,22.33,23.629999999999995,18.881818181818183,18.380000000000003,19.62,21.20909090909091,20.29,21.51,165.45454545454547,8.863636363636365,195.0,14.833333333333334
0,1987.0,4.516203755092644,3.0824370074370067,0.4021117771117771,0.49021932285821185,0.23319849731886766,11.908136924803593,9.34595180197032,14.58280446919336,43.45002290918958,22.719661896745233,5.328267496392496,1.9277245949926363,2.428051948051948,188.01924019102592,48.081901821868776,0.0526613609583042,4.050161313698432,0.3070039603079251,17.61119994787396,5.040722199973302,2.272502236967302,30.484839712416814,173.1140628507295,604.3403574321381,128.30415501776736,10.768184320887446,24.820540652056277,15.488887399800396,22.92615013095079,7.896350195655874,2765.9457575757574,226.35016835016833,14.883375420875419,23.58888888888889,18.75555555555556,21.07777777777778,1.7697916666666667,19589.0,,,,,,21.97777777777777,21.133333333333336,22.2,16.377777777777776,17.033333333333335,18.03333333333333,19.47777777777777,19.133333333333333,20.23333333333333,197.5,13.058333333333334,,
0,1988.0,3.543998106319023,2.4012416427889205,0.294751133934515,0.4971620227038183,0.19332567157644553,13.944650842793259,7.9282484285580255,12.502536374799986,33.711217299892084,20.003285955530536,5.449262626262626,2.0618357487922703,2.4103896103896103,216.1478939140781,54.7655441850695,0.08873962842712843,4.621565355940356,0.2941361531986531,17.822273178210683,5.476588654401154,1.5504642255892256,31.077528108465614,192.3797585227273,562.4505819193971,135.88803732015757,10.394617676767677,24.077090404040405,15.419002281746032,23.18056765722703,7.611519914923041,2589.22825311943,218.0306915306915,15.328943278943282,24.80909090909091,20.245454545454542,22.454545454545453,1.8623511904761905,20286.454545454544,,,,,,23.06363636363637,22.21818181818182,23.645454545454548,18.700000000000003,18.19090909090909,19.29090909090909,20.91818181818181,20.245454545454542,21.38181818181818,199.94444444444446,9.988888888888889,,
