"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,471715,488115,499142,509602,502294,514107,522440,534606,544256,541619,541676,533104,506691,520301,536583,540882,550692,571425,579943,585045,592726,606142,615474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,115319,117847,119749,124234,128704,131054,132931,137086,142825,152482,155335,161437,159372,159535,165210,173239,176863,186307,193238,188063,188157,193205,197900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,118564,124188,126886,137820,136692,139645,145500,152854,158369,167911,171017,173802,166582,169014,173881,174428,175812,181755,191864,201060,209581,219280,225337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,496610,509830,524702,538014,544613,549674,561781,576990,587274,591253,610285,623068,605017,622140,630907,640663,650802,666556,682527,691316,695561,708857,726166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,40141,41920,43160,45252,45904,47585,49348,51554,52286,53492,51994,50412,50217,51365,51263,51607,51679,52006,52958,53030,52728,53136,53668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,134954,139903,146306,150403,151083,154712,160100,162209,166564,170334,174793,174566,166931,170152,174119,175328,178757,183580,190294,196477,202644,209012,214934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,25038,26511,27511,29399,29632,32768,33381,34384,35782,36394,38204,39454,39891,40367,42947,43551,43738,44450,45372,45734,46024,47287,47560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,210740,223901,230732,233698,232786,240536,247176,259206,264653,271344,268668,271928,262837,266474,274627,283482,287259,291662,302970,308157,314850,323317,328406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,872557,927742,963962,998149,1021693,1042351,1048182,1104048,1132550,1209018,1273882,1274662,1270965,1301808,1343701,1410448,1470465,1518614,1595970,1606580,1651330,1715231,1764357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,80662,85714,89292,92627,94103,95899,97640,102827,109278,118621,124509,123382,120998,123476,127217,128764,132169,136325,141602,147556,153986,162574,168793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,298716,315005,331118,346997,358918,362314,376191,393833,415611,423471,426912,427071,426183,437964,442261,445121,446625,446791,455830,460185,468125,478835,489168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,20072,20705,21846,23023,23710,24453,25294,26554,26900,27126,26793,27426,27000,28116,28733,28894,28368,28510,28877,29206,29312,29565,29806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,271457,288446,309918,312646,305512,310322,315728,321878,343112,356887,378292,382324,372813,381513,388099,400623,411469,426482,446628,463974,489435,524487,548687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,209525,217403,226417,233212,236189,241068,247797,255892,262068,266660,268050,264525,257125,265116,270666,274540,275649,282031,288260,291320,294152,303767,308045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,59183,60110,62110,62001,62017,62798,62939,63727,65586,66489,66512,67806,67646,68474,69577,69336,70121,69721,70333,69276,69743,71859,72340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,25206,25756,26820,27677,29278,29917,30646,31567,33167,37582,40344,42640,41429,39843,39440,38438,38523,38711,39899,38080,37866,38696,39214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,11521938,12038283,12610491,13130987,13262079,13493064,13879129,14406382,14912509,15338257,15626029,15604687,15208834,15598753,15840664,16197007,16495369,16912038,17432170,17730509,18144105,18687786,19091662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
