"Crude oil production (including lease condensate), thousand barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,107380,112553,109328,109941,113863,119166,124154,126144,128550,129227,128184,118412,110525,100986,98695,95063,92130,87223,83365,79649,75324,71568,71024,75169,79336,78530,75712,72328,71235,68714,67250,70417,69972,68422,65846,64508,64479,69834,72328,64376,67198,68001,67562,66589,64517,60963,59452,59179,60155,61178,65569,71518,85551,102789,125061,148095,146634,172154,248879,329483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,27,154,141,118,255,209,307,279,271,223,149,113,100,96,129,115,143,661,1156,1235,880,700,613,810,1907,3039,2907,3112,3230,3216,4011,3413,3721,1880,1698,1342,1058,980,799,706,621,572,553,493,463,447,426,408,436,438,426,408,368,334,316,281,277,286,255,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,1813,1658,1589,1679,1874,1632,1735,1972,1532,1256,1194,1126,1018,967,896,875,857,824,852,855,824,841,834,831,840,1071,853,710,566,498,415,427,404,335,299,304,309,276,217,206,210,166,164,143,170,202,312,379,387,333,381,375,362,366,356,286,225,184,221,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,5405,5639,5835,6039,15859,12908,10899,9924,11204,10972,9864,8286,9358,8796,9088,9578,9994,10359,11154,11953,12928,13551,14571,14971,15271,14988,13442,12153,11711,10215,10008,9156,9197,8282,8758,8258,8305,8593,6541,5970,6575,6051,5631,5658,5783,5658,5439,5155,5088,4890,4772,4657,5111,8009,15078,26701,21600,20010,22775,28039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,192913,193081,202732,201962,202524,203441,224839,230749,223623,224729,223574,213313,207633,191204,177785,163123,161426,156382,150456,143642,150140,154056,158621,158604,168385,162739,149105,134378,128874,117493,112273,108094,101807,96625,90973,87490,85379,83364,77578,70556,69976,68531,66421,64916,63977,61262,64236,62901,67299,67174,70196,81599,100700,123812,149602,166468,155228,165955,199557,211808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,6009,5643,5302,5083,5113,4922,4337,4387,4160,4448,4093,3798,3441,3282,3478,3264,3019,2715,2887,2874,2651,3729,4282,4282,4284,4851,3783,3302,2830,2698,2641,2531,2137,2036,2518,1939,1692,1321,1980,1471,1500,1620,2324,2466,2396,2460,2589,2788,2999,2967,3238,3431,4319,5303,6849,7088,6272,6562,6478,6557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
