"Natural gas marketed production, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1193,1155,2331,1846,1947,2558,2231,3431,3920,4369,881,882,1456,1306,1437,1252,1329,1598,1620,1566,1652,1100,1025,1103,1093,992,963,995,1644,2129,1862,1848,15085,16205,15305,552,455,476,447,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,63,71,75,90,77,85,0,58,48,57,64,89,25,20,17,27,47,263,468,941,1241,1719,2976,3950,5022,4686,3464,2707,2100,1900,2067,1856,1770,1660,1990,1820,1690,1510,1420,1230,1150,2000,2050,1803,2100,2200,2663,3942,4700,5478,5144,4851,5825,5400,5294,4276,3603,2982,3283,2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,5892704,5963605,6080204,6204853,6525626,6636515,6913646,7081374,7381875,7724139,8222947,8421288,8504468,8358520,8027579,7377637,7094881,6962769,6298929,6620547,6419708,6134670,5593613,5093850,5275243,5217793,5097238,4893761,5007481,4894485,4895982,4884653,4812979,4973525,5045690,5046555,5132207,5167334,5227477,5054486,5282104,5282723,5141075,5243567,5067315,5276401,5548022,6123180,6960693,6818973,6715294,7112863,7475495,7633618,7985019,7890459,7225471,7223841,8041010,9301616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,51040,57175,74128,77122,80175,71616,69366,48965,46151,46733,42781,42418,39474,42715,50522,55354,57416,60696,58416,58605,87766,91191,94255,63158,74698,83405,90013,87158,101372,120089,145875,144817,171293,225401,270858,241290,250767,257139,277340,262614,269285,283913,274739,268058,277969,301223,348320,376409,433566,444162,432045,457525,490393,470863,454545,417020,365269,315211,295826,271870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,2227,2466,2499,2085,1609,3152,4249,3818,3389,2846,2805,2619,2787,5101,7096,6723,6937,8220,8492,8544,7812,8903,6880,4346,8901,15041,15427,19223,18424,17935,14774,14906,24733,37840,50259,49818,54290,58249,57263,72189,71545,71543,76915,143644,85508,88610,103027,112057,128454,140738,147255,151094,146405,139382,133661,127586,120288,115452,111476,106366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,208757,210556,210698,210223,203872,207416,211610,211460,236971,231759,242452,234027,214951,208676,202306,154484,153322,152767,148564,150505,156551,161251,150850,130078,143730,144883,135431,160000,174942,177192,178000,198605,182000,171024,183773,186231,169839,172268,180000,176015,264139,191889,190249,187723,197217,221108,225530,231184,244880,264436,265174,394125,539861,741853,1067114,1315248,1384458,1514278,1771698,2155757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,181610,194674,204996,209060,232878,235849,243381,240074,248481,303517,338520,380105,375059,357731,326657,316123,328768,330180,357267,414416,407072,408356,424657,443988,516683,416565,403266,497980,509058,665699,735728,776528,842576,634957,696018,673775,666036,738368,903836,971230,1088328,1363879,1453957,1539318,1592203,1639317,1816201,2047882,2274850,2335328,2305525,2159422,2022275,1858207,1794413,1808519,1662909,1590059,1637517,1460477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,12771038,13254025,13876622,14746663,15546592,16039753,17206628,18171325,19322400,20698240,21920642,22493012,22531698,22647549,21600522,20108661,19952438,20025463,19974033,20471260,20179724,19955823,18582001,16884095,18304341,17270223,16858673,17432903,17918463,18095148,18593792,18532439,18711808,18981915,19709525,19506474,19812241,19866092,19961349,19804848,20197510,20570293,19884781,19974358,19517490,18927095,19409672,20196348,21112051,21647934,22381873,24036351,25283280,25562233,27497754,28772045,28400047,29237824,33008867,36515188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
