,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
36,OK,115319.0,117847.0,119749.0,124234.0,128704.0,131054.0,132931.0,137086.0,142825.0,152482.0,155335.0,161437.0,159372.0,159535.0,165210.0,173239.0,176863.0,186307.0,193238.0,188063.0,188157.0,193205.0,197900.0
37,OR,118564.0,124188.0,126886.0,137820.0,136692.0,139645.0,145500.0,152854.0,158369.0,167911.0,171017.0,173802.0,166582.0,169014.0,173881.0,174428.0,175812.0,181755.0,191864.0,201060.0,209581.0,219280.0,225337.0
38,PA,496610.0,509830.0,524702.0,538014.0,544613.0,549674.0,561781.0,576990.0,587274.0,591253.0,610285.0,623068.0,605017.0,622140.0,630907.0,640663.0,650802.0,666556.0,682527.0,691316.0,695561.0,708857.0,726166.0
39,RI,40141.0,41920.0,43160.0,45252.0,45904.0,47585.0,49348.0,51554.0,52286.0,53492.0,51994.0,50412.0,50217.0,51365.0,51263.0,51607.0,51679.0,52006.0,52958.0,53030.0,52728.0,53136.0,53668.0
40,SC,134954.0,139903.0,146306.0,150403.0,151083.0,154712.0,160100.0,162209.0,166564.0,170334.0,174793.0,174566.0,166931.0,170152.0,174119.0,175328.0,178757.0,183580.0,190294.0,196477.0,202644.0,209012.0,214934.0
41,SD,25038.0,26511.0,27511.0,29399.0,29632.0,32768.0,33381.0,34384.0,35782.0,36394.0,38204.0,39454.0,39891.0,40367.0,42947.0,43551.0,43738.0,44450.0,45372.0,45734.0,46024.0,47287.0,47560.0
42,TN,210740.0,223901.0,230732.0,233698.0,232786.0,240536.0,247176.0,259206.0,264653.0,271344.0,268668.0,271928.0,262837.0,266474.0,274627.0,283482.0,287259.0,291662.0,302970.0,308157.0,314850.0,323317.0,328406.0
43,TX,872557.0,927742.0,963962.0,998149.0,1021693.0,1042351.0,1048182.0,1104048.0,1132550.0,1209018.0,1273882.0,1274662.0,1270965.0,1301808.0,1343701.0,1410448.0,1470465.0,1518614.0,1595970.0,1606580.0,1651330.0,1715231.0,1764357.0
44,UT,80662.0,85714.0,89292.0,92627.0,94103.0,95899.0,97640.0,102827.0,109278.0,118621.0,124509.0,123382.0,120998.0,123476.0,127217.0,128764.0,132169.0,136325.0,141602.0,147556.0,153986.0,162574.0,168793.0
45,VA,298716.0,315005.0,331118.0,346997.0,358918.0,362314.0,376191.0,393833.0,415611.0,423471.0,426912.0,427071.0,426183.0,437964.0,442261.0,445121.0,446625.0,446791.0,455830.0,460185.0,468125.0,478835.0,489168.0
46,VT,20072.0,20705.0,21846.0,23023.0,23710.0,24453.0,25294.0,26554.0,26900.0,27126.0,26793.0,27426.0,27000.0,28116.0,28733.0,28894.0,28368.0,28510.0,28877.0,29206.0,29312.0,29565.0,29806.0
47,WA,271457.0,288446.0,309918.0,312646.0,305512.0,310322.0,315728.0,321878.0,343112.0,356887.0,378292.0,382324.0,372813.0,381513.0,388099.0,400623.0,411469.0,426482.0,446628.0,463974.0,489435.0,524487.0,548687.0
48,WI,209525.0,217403.0,226417.0,233212.0,236189.0,241068.0,247797.0,255892.0,262068.0,266660.0,268050.0,264525.0,257125.0,265116.0,270666.0,274540.0,275649.0,282031.0,288260.0,291320.0,294152.0,303767.0,308045.0
49,WV,59183.0,60110.0,62110.0,62001.0,62017.0,62798.0,62939.0,63727.0,65586.0,66489.0,66512.0,67806.0,67646.0,68474.0,69577.0,69336.0,70121.0,69721.0,70333.0,69276.0,69743.0,71859.0,72340.0
50,WY,25206.0,25756.0,26820.0,27677.0,29278.0,29917.0,30646.0,31567.0,33167.0,37582.0,40344.0,42640.0,41429.0,39843.0,39440.0,38438.0,38523.0,38711.0,39899.0,38080.0,37866.0,38696.0,39214.0
