,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Oklahoma,4604.853260869566,4710.7043478260875,4871.652173913045,5272.8836956521745,5599.834782608696,5708.433695652174,6079.428260869567,6540.104347826088,7236.4315217391295,8003.670652173912,8451.883695652174,9396.322826086956,8421.959782608692,8833.016304347828,9589.20760869565,10629.359407823253,10621.673913043482,11358.6902173913,10710.888043478264,10281.541304347824,10766.566304347825,11589.151086956515,11731.730434782605
41,Oregon,6003.323913043478,6250.027173913043,6352.670652173913,6971.471739130435,6917.077173913044,7166.80108695652,7544.673913043475,8115.870652173914,8528.009782608691,9202.92065217391,9556.685869565219,9774.986956521738,9484.031521739133,9698.96195652174,10124.404347826086,10339.470652173915,10633.257608695652,11186.7347826087,12033.367391304346,12747.805434782615,13478.76304347826,14379.406521739127,15059.521739130438
42,Pennsylvania,21561.37391304347,22591.630434782597,23562.690217391304,24618.09782608697,25530.579347826086,26161.543478260875,27169.38804347826,28681.757608695658,30098.825000000008,31332.895652173924,33366.756521739124,34756.00434782611,34430.56086956521,35728.48152173912,36938.76086956521,38337.102173913045,39715.33260869567,41489.49565217394,42668.80652173913,43558.998913043484,44652.18369565218,46705.56956521738,48532.35760869564
44,Rhode Island,1691.635869565217,1801.7695652173916,1884.6239130434785,2009.3695652173922,2095.367391304347,2223.6989130434786,2333.1445652173916,2510.4130434782614,3029.6865588307087,3209.006231149051,3219.844137797973,2715.446739130435,3238.607550409576,3349.186763385649,3408.245723850029,2997.9913043478255,3074.0141304347826,3162.253260869565,3302.7108695652164,3363.820652173913,3384.8,3483.7902173913044,3595.927173913043
46,South Carolina,5758.88586956522,6103.959782608694,6486.721739130432,6758.971739130437,7360.130983971333,7312.254347826089,7657.964130434783,7851.660869565217,8265.08695652174,8718.056521739132,9219.280434782611,9346.289130434785,9243.294565217391,9528.659782608698,10422.15985428481,10217.903260869565,10651.153260869565,11196.350000000004,11945.286956521739,12499.548913043478,13075.010869565222,13779.43695652174,14487.603260869562
47,South Dakota,1382.2495204950949,1467.6169924320575,1533.49759101612,1326.8619565217398,1370.738043478261,1901.3096024990932,1962.5707799237823,2098.31093826276,2213.957211004622,2314.927970279485,2063.101086956521,2161.727173913044,2140.8739130434783,2215.536956521739,2474.4858695652188,2590.157608695652,2681.8347826086956,2761.14347826087,2834.507608695652,3502.2700189035922,2995.7902173913044,3170.342391304348,3267.8326086956517
50,Tennessee,9279.105434782607,10040.236956521741,10562.88369565217,10911.146739130436,11166.008695652174,11701.5,12191.588043478261,13095.157608695652,13630.255434782612,14348.18804347826,14605.444565217398,14995.705434782605,14886.132608695654,15249.628260869564,15956.056521739136,16923.853260869564,17546.1902173913,18168.80326086957,19422.89347826087,20078.403260869567,20780.379347826096,21741.503260869566,22552.4402173913
51,Texas,36578.14347826088,38602.89456521737,40458.88695652175,43942.51413043479,45926.64891304346,46635.52282608696,49147.717391304344,54317.09673913043,59037.26847826086,65103.14239130433,70823.37826086959,74076.67608695652,69041.59782608696,73858.4989130435,80053.04239130436,84696.89239130431,90353.08152173908,94000.73804347827,93342.89347826088,93087.2032608696,99309.70217391306,107540.29891304346,110181.02826086954
53,Utah,3325.682608695651,3595.2358695652174,3806.1130434782613,4069.207608695653,4234.226086956522,4397.33695652174,4576.573913043479,4966.781521739132,5470.479347826086,6174.064130434784,6688.648913043481,6754.626086956518,6652.590217391304,6951.525,7358.963043478262,7558.9576086956495,7906.202173913043,8304.353260869562,8741.251086956523,9218.533695652173,9822.843478260871,10672.621739130434,11310.577173913045
54,Vermont,913.4706521739129,947.8554347826085,1011.6945652173914,1078.9967391304347,1134.4576086956522,1183.3543478260872,1236.1815217391304,1323.2032608695652,1786.9604718741869,1418.046739130435,2360.1947973350784,1967.4145923076317,1503.9891304347825,1585.3347826086956,1644.4750000000001,1693.2695652173916,1683.559782608695,1728.7521739130436,1787.508695652174,1833.1880434782613,1869.6065217391306,1923.3771739130432,1983.0576086956528
55,Virginia,12301.052173913047,13304.688043478263,14349.09782608696,15418.611956521734,16453.078260869566,16861.232608695656,17765.53043478261,18978.529347826086,20626.95326086957,21648.126086956527,22395.640217391305,22785.750000000004,23399.06739130435,24241.172826086957,24773.902173913037,25458.606521739133,26044.343478260875,26538.064130434792,27714.176086956533,28405.157608695656,29298.459782608697,30559.593478260864,31911.803260869576
56,Washington,11419.06195652174,12369.417391304345,13634.341304347825,14069.725,14104.618478260869,14567.897826086957,15080.245652173913,15754.911956521739,17369.6652173913,18614.111956521745,20426.188043478265,20888.421739130426,20817.581521739125,21592.91304347826,22494.326086956513,23757.277173913044,24901.726086956536,26298.658695652175,28072.040217391306,29222.666304347826,31205.136956521736,34107.44347826087,36331.09782608696
57,West Virginia,2264.030434782608,2335.5554347826087,2434.8684782608702,2462.138043478262,2536.3565217391306,2619.0565217391304,2684.796739130436,2829.208695652174,3065.3902173913048,3258.0184782608676,3371.9510869565224,3576.6304347826067,3630.274999999999,3760.918478260868,3958.447826086958,3992.4771739130433,4102.861956521739,4153.629347826089,4080.64347826087,4038.490217391304,4209.7423913043485,4487.194565217392,4555.472826086957
58,Wisconsin,9363.639130434785,9923.836956521736,10504.310869565219,10985.095652173917,11379.461956521734,11772.897826086955,12247.706521739134,12971.732608695658,13619.264130434778,14262.1,14718.103260869566,14687.779347826085,14710.209782608694,15309.354347826093,15929.867391304353,16587.031521739125,17040.438043478258,17766.83695652174,18554.77826086956,18953.81413043479,19388.918478260868,20432.888043478266,21151.061956521742
59,Wyoming,841.745652173913,1139.20612286684,1201.745417103076,1309.9776995739587,1412.8298970148073,1088.0673913043477,1205.7336956521744,1341.6260869565215,1591.9619565217386,1916.258695652174,2171.285869565217,2544.7782608695647,2102.9847826086952,2188.5478260869572,2318.527173913043,2243.169565217391,2255.669565217391,2275.5858695652173,2177.9956521739123,2038.007608695652,2139.967391304348,2294.433695652174,2327.427173913044
