,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
21,ME,232332.0,244897.0,237907.0,241423.0,242725.0,232176.0,244258.0,256811.0,271194.0,288283.0,302380.0,353571.0,380418.0,378940.0,354413.0,324651.0,380599.0,396866.0,384636.0,363580.0,381550.0,380501.0,426436.0,391587.0,418276.0,423461.0,444354.0,433183.0,484767.0,478996.0,430659.0,435294.0,449327.0,452399.0,461886.0,431302.0,458152.0,443177.0,418462.0,430397.0,463343.0,426028.0,430762.0,430431.0,443142.0,447801.0,427755.0,450333.0,455348.0,413101.0,416076.0,416165.0,399681.0,412187.0,413206.0,423064.0,391030.0,383934.0,387529.0,383725.0
22,MI,1851644.0,1876674.0,1985156.0,2072621.0,2140394.0,2278302.0,2430278.0,2490875.0,2627315.0,2734264.0,2702538.0,2798196.0,2970324.0,3060405.0,2916310.0,2865742.0,2983999.0,2873174.0,2942354.0,2923445.0,2824417.0,2673062.0,2525049.0,2521430.0,2597220.0,2634458.0,2651892.0,2639558.0,2812015.0,2845535.0,2866603.0,2800618.0,2850077.0,2847744.0,2871299.0,3000186.0,3105729.0,3106640.0,3058629.0,3227372.0,3225008.0,3104288.0,3161372.0,3202233.0,3164951.0,3215169.0,3046605.0,3022749.0,2915379.0,2690321.0,2784241.0,2822326.0,2718554.0,2868866.0,2913600.0,2830749.0,2809836.0,2801626.0,2914235.0,2882342.0
23,MN,723031.0,728237.0,766680.0,775637.0,816048.0,865284.0,922187.0,929413.0,991475.0,1081915.0,1107892.0,1148516.0,1209799.0,1257708.0,1237566.0,1246041.0,1293627.0,1257346.0,1350594.0,1350455.0,1224226.0,1176563.0,1187287.0,1190390.0,1251746.0,1258254.0,1245900.0,1251390.0,1355217.0,1392696.0,1409665.0,1434833.0,1442310.0,1486122.0,1522324.0,1612469.0,1685217.0,1653900.0,1624327.0,1700105.0,1749107.0,1720944.0,1785661.0,1863727.0,1863445.0,1871803.0,1843501.0,1896785.0,1913253.0,1786176.0,1860041.0,1853104.0,1815512.0,1888740.0,1942341.0,1816000.0,1840793.0,1863854.0,1940743.0,1900223.0
24,MO,899857.0,898673.0,939806.0,954239.0,989314.0,1043038.0,1102147.0,1132505.0,1211237.0,1265602.0,1309269.0,1326842.0,1383498.0,1418725.0,1399043.0,1412553.0,1471585.0,1505717.0,1556126.0,1530220.0,1422627.0,1364588.0,1361929.0,1364968.0,1382791.0,1405803.0,1407765.0,1430886.0,1500220.0,1511766.0,1506669.0,1540305.0,1532026.0,1645347.0,1658124.0,1717666.0,1804740.0,1802761.0,1849558.0,1890358.0,1831457.0,1864062.0,1878573.0,1883450.0,1894079.0,1982290.0,1967681.0,1985695.0,1948878.0,1845179.0,1926538.0,1868319.0,1788656.0,1851262.0,1911606.0,1830761.0,1781020.0,1741452.0,1860252.0,1804258.0
25,MS,404939.0,411387.0,438300.0,473278.0,513324.0,511644.0,566410.0,579960.0,645521.0,684793.0,746912.0,786107.0,830744.0,847974.0,817314.0,771990.0,778923.0,819170.0,849268.0,877571.0,833876.0,817881.0,814290.0,819939.0,858698.0,837167.0,846367.0,868802.0,917601.0,959292.0,1019810.0,1042158.0,1067309.0,1076443.0,1093733.0,1120526.0,1148611.0,1148411.0,1141236.0,1238413.0,1245835.0,1132667.0,1174307.0,1206235.0,1209335.0,1175656.0,1211461.0,1225189.0,1166061.0,1111703.0,1149135.0,1124621.0,1108609.0,1086745.0,1098099.0,1081172.0,1067915.0,1064632.0,1102466.0,1086332.0
26,MT,227460.0,241691.0,248275.0,252510.0,263813.0,258824.0,275598.0,260368.0,280467.0,314298.0,322784.0,333934.0,342383.0,347660.0,351944.0,345409.0,365130.0,361105.0,383374.0,397177.0,360216.0,337187.0,316999.0,323449.0,359490.0,370198.0,352552.0,329241.0,341806.0,351807.0,350590.0,355349.0,349443.0,367830.0,371882.0,391902.0,397805.0,367605.0,391347.0,395931.0,410631.0,357848.0,381613.0,379721.0,401702.0,422087.0,441656.0,469914.0,456670.0,427247.0,404984.0,404197.0,397117.0,406459.0,405599.0,403707.0,406787.0,423278.0,436659.0,446174.0
27,NC,826470.0,858960.0,902745.0,930073.0,967053.0,1000435.0,1089558.0,1137963.0,1211104.0,1281029.0,1342676.0,1403918.0,1480269.0,1551096.0,1501847.0,1458782.0,1558503.0,1633866.0,1665364.0,1730521.0,1667382.0,1629516.0,1592073.0,1668995.0,1800225.0,1797051.0,1879993.0,1966269.0,2044646.0,2064537.0,2064098.0,2053070.0,2146014.0,2234705.0,2242614.0,2361657.0,2449409.0,2428449.0,2474626.0,2494294.0,2612315.0,2551460.0,2575450.0,2594352.0,2668617.0,2702237.0,2650024.0,2686309.0,2698574.0,2557016.0,2750544.0,2624425.0,2533963.0,2553147.0,2597588.0,2591178.0,2615664.0,2570568.0,2680610.0,2652806.0
28,ND,159415.0,154763.0,164872.0,170619.0,172006.0,169405.0,180786.0,185106.0,191968.0,192560.0,191117.0,195302.0,203742.0,202197.0,204358.0,206515.0,210442.0,210359.0,230012.0,237989.0,222373.0,236161.0,234682.0,230477.0,259557.0,300438.0,303900.0,302940.0,306556.0,319110.0,312939.0,322894.0,329126.0,332142.0,342000.0,350175.0,353238.0,359732.0,347752.0,375585.0,381565.0,407370.0,401218.0,400838.0,404459.0,409142.0,416023.0,437978.0,444397.0,435055.0,471447.0,522735.0,547332.0,589103.0,638943.0,605407.0,581309.0,631417.0,659879.0,667931.0
29,NE,307836.0,314944.0,327421.0,334977.0,347076.0,348616.0,389146.0,385223.0,422750.0,455912.0,487481.0,496173.0,509525.0,522129.0,518540.0,525658.0,554831.0,556876.0,556658.0,545126.0,507068.0,477613.0,492029.0,502801.0,506451.0,499912.0,482525.0,495732.0,535116.0,533925.0,533802.0,542836.0,531594.0,560302.0,585367.0,613636.0,644490.0,658015.0,674687.0,664584.0,667989.0,664390.0,675942.0,685709.0,697628.0,704826.0,721474.0,757842.0,796063.0,778869.0,864840.0,860618.0,849979.0,869060.0,874345.0,853197.0,865222.0,867770.0,902782.0,900586.0
30,NH,112158.0,119931.0,128225.0,133691.0,133091.0,131247.0,144764.0,149526.0,159459.0,176217.0,186601.0,201058.0,212305.0,216617.0,206500.0,201882.0,226976.0,230352.0,233236.0,210760.0,208260.0,200294.0,201336.0,204533.0,224289.0,233475.0,252309.0,273261.0,273541.0,272775.0,267260.0,253893.0,261635.0,261384.0,264573.0,267526.0,279664.0,279217.0,282000.0,292260.0,309761.0,306523.0,316339.0,325619.0,332093.0,326092.0,307906.0,309086.0,301470.0,297987.0,298376.0,296253.0,287475.0,305894.0,313889.0,316118.0,306904.0,317571.0,325414.0,319803.0
