,State,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,AL,11.161072932135431,13.28725395447194,13.204377358861715,13.346037053903068,12.832900038823839,13.028291708163573,13.587747967484514,13.409179120720607,13.30386357894438,12.762561415346271,13.370058272022321,12.70910137347375,13.312346349233268,13.224999999999998,12.55,15.375625,14.396666666666668,13.503,14.49875,13.583166666666667,14.300636363636364,14.653909090909087,13.96518181818182,14.70272727272727,13.154999999999998,13.783636363636365,15.366666666666667,14.62272727272727,15.589,14.445,15.541111111111116,15.695,20.1135,13.916666666666664,12.85824021944022,14.06,23.91,17.28,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
11,NY,6.703571428571429,11.430833333333332,12.4609375,11.5713125,12.097291666666667,12.586666666666668,14.393632653061225,13.459166666666668,12.944960317460316,12.924333333333333,13.529095238095238,11.788095238095233,12.869428571428573,11.279857142857145,12.17925,11.03375132275132,12.20082738095238,12.190416666666668,11.365108843537412,11.922761904761904,12.394880952380953,11.771428571428574,11.545017857142856,11.5859126984127,11.482833333333335,11.221321428571427,11.76442857142857,11.440809523809525,12.372708333333332,14.104000000000001,12.146714285714285,13.609833333333333,11.443541666666665,12.3685,12.424133333333335,11.89025,11.203499999999998,10.966,10.321166666666667,12.544,12.82325,13.552,13.1995,12.128,12.3,13.94,19.086666666666666,13.475466644460294,13.854451049670372,11.95,14.53,13.195999999999998,13.88,14.382,14.012,14.065000000000005,13.24,13.275,15.4625
12,RI,11.161072932135431,13.28725395447194,13.204377358861715,13.346037053903068,12.832900038823839,13.028291708163573,13.587747967484514,13.409179120720607,13.30386357894438,12.762561415346271,13.370058272022321,12.70910137347375,13.312346349233268,12.671052410094374,13.811645054959172,13.543346517864306,13.02979748183364,13.455122908523593,13.338733376226427,13.245783378027468,13.346390421847378,13.46755042800937,13.11031365757249,13.898134631766215,13.182758515376639,12.702260535853126,13.52045918073593,13.408206871947,13.657289009244046,13.096318020168738,13.010795849708446,13.519054081166393,13.668219727662182,13.649067709836464,12.85824021944022,13.549889987362025,13.235745763688477,13.473763380736692,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
13,MT,9.475,9.246666666666666,10.638666666666666,9.993,8.78125,9.276208333333333,10.132444444444443,11.1505,8.492,8.802777777777777,9.161555555555557,9.169,10.901933333333336,10.274916666666666,9.725083333333334,9.939666666666666,10.387466666666667,10.582733333333334,14.241904761904767,14.20804761904762,10.802222222222225,11.308125,11.368125,9.471833333333333,10.949416666666668,9.829833333333333,12.2125,11.935535714285713,10.766333333333336,10.038,10.426791666666666,10.887,12.097777777777774,10.9385,10.486388888888893,9.399277777777778,9.966833333333334,10.6105,8.579666666666668,9.89,9.236666666666666,6.07,4.77,10.168888888888887,14.623333333333335,10.66,13.711632050665385,13.475466644460294,13.854451049670372,7.93,11.675,9.93,9.51,8.756,9.008333333333333,10.41,10.985,10.106,12.9
14,IL,14.26,17.618000000000006,15.835,14.79175,14.860666666666667,14.75785714285714,15.039428571428573,14.808460317460316,15.545111111111117,15.169166666666667,15.267857142857142,14.074880952380955,15.1115,13.400000000000002,14.418714285714286,14.366071428571427,14.965833333333332,14.403714285714285,14.828928571428573,15.895555555555555,14.806388888888893,14.932079365079364,14.109511904761908,15.914095238095234,14.668083333333335,15.91375,15.912857142857144,12.492857142857144,16.14,15.0375,13.010795849708446,7.19,18.635,17.16875,15.143125,17.025928571428572,14.088253968253968,14.279444444444444,13.99404761904762,13.893809523809526,13.867,12.919666666666664,12.914000000000001,14.885833333333334,14.603,15.043333333333333,12.407142857142857,13.6025,13.692,15.38,14.061666666666666,13.489166666666666,14.449333333333335,14.71345238095238,12.904166666666665,14.859000000000002,13.566,14.283592349439777,15.356107142857143
15,MA,11.161072932135431,13.28725395447194,13.204377358861715,13.346037053903068,12.832900038823839,13.028291708163573,13.587747967484514,13.409179120720607,13.30386357894438,12.762561415346271,12.07,13.213333333333333,14.06,12.663333333333336,13.813999999999998,15.52,15.092000000000002,15.822499999999998,12.694,12.906666666666665,13.346390421847378,13.46755042800937,13.11031365757249,13.898134631766215,13.182758515376639,12.702260535853126,13.52045918073593,13.408206871947,15.074000000000002,13.096318020168738,13.010795849708446,13.519054081166393,10.25,13.649067709836464,12.85824021944022,13.549889987362025,13.235745763688477,13.473763380736692,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,16.79,14.45,14.33,14.253333333333336,13.723333333333334,13.118333333333334,13.495,14.204999999999998,14.766666666666667,15.148333333333335,14.483333333333333,14.813333333333333,15.856666666666667
16,FL,16.171666666666667,18.757323232323234,18.996032467532466,18.69889256198347,18.006462626262625,16.927536363636364,16.278605667060212,17.738198347107442,18.03052272727273,17.936505050505055,17.541511363636364,16.824383838383838,18.36395061728395,17.345622895622895,17.613730639730637,17.317262626262625,16.88418308080808,17.059887626262626,16.65991702741703,17.74994227994228,17.000626262626266,17.735404040404042,19.039239332096482,18.690651996151995,18.746281385281375,18.0304329004329,18.61810389610389,19.0325845959596,19.18268181818182,18.5274375,17.837379148629147,18.74455681818182,18.49081534090909,17.30937987012987,19.373486531986533,18.20962121212121,19.916183982683986,21.161,20.34227272727273,21.46,13.511504069493117,13.100319583894159,13.22289207031269,12.38,21.645,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
17,TN,9.576666666666666,13.779666666666666,15.057129629629625,14.376157407407408,14.056079365079365,15.010277777777775,14.45306349206349,15.076666666666668,14.106285714285713,13.884120370370367,13.01484126984127,12.478229166666665,14.636520833333336,12.845277777777778,15.397104166666667,14.200400793650793,15.973865079365074,16.408841269841272,15.253492063492065,16.01020833333333,14.985744047619047,14.28815476190476,15.870386904761903,16.854776785714286,15.077770833333332,13.87620833333333,15.1645,15.031607142857144,17.210396825396828,15.857714285714286,16.580428571428573,13.519054081166393,13.668219727662182,13.649067709836464,12.85824021944022,13.549889987362025,13.235745763688477,13.473763380736692,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,19.94,17.866833333333336,20.358,21.78,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
18,NH,11.161072932135431,13.28725395447194,13.204377358861715,13.346037053903068,12.832900038823839,13.028291708163573,13.587747967484514,13.409179120720607,13.30386357894438,12.762561415346271,13.370058272022321,12.70910137347375,13.312346349233268,12.671052410094374,13.811645054959172,13.543346517864306,13.02979748183364,13.455122908523593,13.338733376226427,13.245783378027468,13.346390421847378,13.46755042800937,13.11031365757249,13.898134631766215,13.182758515376639,12.702260535853126,13.52045918073593,13.408206871947,13.657289009244046,13.096318020168738,13.010795849708446,13.519054081166393,13.668219727662182,13.649067709836464,12.85824021944022,13.549889987362025,13.235745763688477,13.473763380736692,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
19,ME,6.2650000000000015,11.58075,13.239999999999998,16.63,14.0025,12.125,13.587747967484514,13.409179120720607,13.30386357894438,7.16,13.370058272022321,10.31,11.386666666666665,15.08,13.811645054959172,12.102,13.575,12.395,13.05,13.245783378027468,13.455,13.46755042800937,13.11031365757249,13.898134631766215,13.182758515376639,12.702260535853126,13.52045918073593,13.408206871947,13.657289009244046,13.096318020168738,13.010795849708446,13.519054081166393,13.668219727662182,13.649067709836464,8.32,11.33,11.568,9.846,10.672,11.116,16.863999999999994,19.7375,13.066666666666665,10.822,8.946,12.07,13.711632050665385,13.475466644460294,13.854451049670372,10.05,8.673333333333334,7.369999999999999,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
