,State,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
10,AL,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,59.0,58.9,64.57272727272726,60.65,57.07272727272728,53.10909090909092
11,NY,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
12,RI,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
13,MT,61.24545454545454,63.32727272727274,61.40454545454547,62.0,69.04090909090908,64.29545454545456,65.38181818181818,62.81363636363636,66.65,66.14545454545454,56.75,66.08181818181818,58.7409090909091,62.11363636363637,64.33181818181818,61.76363636363637,64.28181818181818,62.536363636363646,67.11363636363635
14,IL,64.42727272727274,58.48181818181819,58.12727272727273,61.45454545454545,59.85454545454545,54.96363636363637,58.31818181818182,54.7,57.06363636363637,58.1,58.1090909090909,67.35454545454546,62.91818181818182,61.5090909090909,53.83636363636363,58.46363636363637,53.7,58.35454545454546,57.68181818181818
15,MA,57.90909090909092,55.8,52.93636363636363,49.95454545454547,51.85454545454545,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
16,FL,60.84734848484849,61.1090909090909,64.31363636363636,67.49545454545455,61.65909090909091,69.31454545454547,72.70159090909091,73.99545454545455,75.63181818181819,69.81136363636364,68.3880681818182,64.13358585858586,61.92954545454546,59.93982683982684,70.9,58.66363636363637,77.75454545454545,64.53636363636363,63.40909090909091
17,TN,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
18,NH,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
19,ME,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
20,KS,63.39090909090908,67.95454545454545,65.41818181818181,66.61818181818182,55.35454545454545,66.08181818181819,70.38181818181819,67.16363636363637,67.31818181818181,77.98181818181818,76.12727272727273,82.01818181818183,75.32727272727273,75.61818181818181,77.2818181818182,69.30909090909091,65.41818181818181,61.53636363636363,54.7
21,OK,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
22,LA,53.58000000000001,51.788888888888884,59.48181818181819,58.11818181818183,61.01818181818182,60.8875,50.89,55.06363636363637,60.96,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,75.125,68.77272727272727,66.59090909090908,68.92222222222222
23,AZ,86.56363636363636,88.34545454545454,87.1909090909091,91.74545454545454,89.01818181818182,88.07272727272726,88.06363636363636,89.25454545454546,87.8,93.27272727272728,92.0090909090909,88.71818181818182,91.35454545454546,88.86363636363636,93.91818181818181,90.75454545454546,91.02727272727272,85.45454545454545,89.3363636363636
24,CT,65.74545454545455,63.25454545454545,61.61818181818182,64.0090909090909,62.475,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
25,OH,54.73636363636364,49.31818181818182,51.6909090909091,55.01818181818181,52.036363636363646,49.61818181818182,46.99090909090909,43.40909090909091,45.53636363636363,48.5,49.85454545454546,48.86363636363635,56.27272727272727,60.74545454545455,44.78181818181818,47.209090909090904,44.09090909090909,56.027272727272724,60.93269444444444
26,DE,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
27,MS,65.28181818181818,66.39090909090909,60.4,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,59.0
28,CA,75.30000000000003,77.73636363636366,74.48181818181818,75.2,75.83636363636364,78.39999999999998,80.77272727272727,78.96363636363638,76.07272727272726,86.3,82.1,84.06363636363636,82.46363636363638,83.8,81.26363636363638,86.44545454545454,80.98181818181818,76.89090909090909,74.26363636363634
29,AK,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
