,State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,TN,19.93363636363636,20.020454545454548,21.24232954545455,21.794512987012983,22.499675324675326,21.728257575757574,22.41238961038961,18.367555555555555,21.564545454545456,21.991454545454545,20.947727272727274,21.639646464646464,21.644090909090906,22.639590909090906,20.27436363636364,21.4002861952862,21.62963636363637,21.730828282828284,20.755636363636363,21.75618181818182,21.183818181818182,20.792765151515148,21.06818181818182,21.165454545454548,20.97878787878788,22.35636363636364,21.37212121212121,20.796632996633,22.08073593073593,21.93261183261184,22.82379509379509,20.90376623376623,20.547204184704192,21.925584415584417,23.270476190476195,21.749639249639245,20.370454545454546,22.369090909090904,21.479545454545455,23.034523809523808
18,NH,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,6.7666666666666675,13.254545454545452,14.2,13.427272727272726,12.900000000000004,13.109090909090913,14.118181818181816,13.400000000000004,13.318181818181818,12.9,13.9,13.883333333333333
19,ME,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,11.681818181818182,12.454545454545455,11.28181818181818,11.872727272727273,12.118181818181816,13.84090909090909,12.626060606060605,12.463636363636365,11.868181818181816,12.969696969696967,12.080909090909092,12.181818181818182,11.636363636363635,12.259545454545455,11.022727272727273,12.059090909090907,11.374999999999998
20,KS,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,13.8,17.015037088868983,16.826966049382715
21,OK,20.925568181818182,21.36818181818182,21.723510101010103,20.854545454545452,21.54772727272728,21.89318181818182,22.24772727272727,20.66136363636364,20.897727272727273,21.520934343434345,21.73681818181818,21.6,22.62454545454545,22.052878787878786,20.53409090909091,20.913636363636364,23.63545454545455,22.65227272727273,21.54383116883117,21.211931818181817,20.43878787878788,21.624545454545455,20.63636363636364,21.631818181818186,22.62272727272727,20.543636363636363,21.44545454545454,20.519694594023864,22.203010222709022,23.149686318972034,23.968628356738115,21.517545383286127,21.5279776156628,22.324797979797978,23.56908654445692,23.229727655746174,22.538337121212123,21.85174558080808,22.52680176767677,22.929541666666665
22,LA,25.384454545454545,24.079090909090908,24.73454545454545,24.92838383838384,25.307777777777787,25.46363636363637,25.07727272727273,24.509,26.51127272727273,25.21311688311688,25.26636363636364,24.955454545454543,25.161818181818184,25.64306818181819,25.442898989898982,25.279000000000003,27.020494949494942,26.329636363636364,25.817636363636364,25.39436363636364,24.097474747474752,24.65868686868687,24.706649350649357,25.59469696969697,25.08113636363636,24.36936095650381,25.34684659090909,24.332348484848485,22.721558441558447,24.71279461279461,23.757038961038962,23.795015151515152,22.353863636363634,24.378545454545456,25.342323232323235,25.18545454545455,21.602020202020203,23.54545454545454,23.2,23.014285714285712
23,AZ,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
24,CT,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
25,OH,24.1,22.633333333333336,20.1,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,2.5,16.154545454545456,18.63896103896104,17.395454545454545,16.925757575757576,17.436363636363634,18.65,16.88961038961039,18.198701298701295,18.384415584415585,18.29714285714285,18.11818181818182,17.618181818181817,18.85,17.61,18.021818181818183,19.76636363636364,17.998181818181813,16.672727272727272,19.321454545454547,20.250303030303023,18.96343434343434,18.749292929292928,19.419999999999995,16.518181818181816,15.1
26,DE,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.07272727272727,18.580000000000005,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
27,MS,23.416195286195286,24.10142045454545,25.38515782828283,24.73390151515152,25.22920454545455,25.233423120089785,24.240101010101014,23.272157687991022,25.96469135802469,25.11820707070707,24.409727272727274,23.837886363636365,25.03509090909091,25.11921212121212,23.87184090909091,23.530752525252534,25.24227272727273,26.09587987012987,24.950808080808077,26.38934343434344,25.05798051948052,24.83713498622589,23.454598255280075,24.74912239275876,24.435342056932964,24.63272727272728,24.06285858585859,24.34693067033977,25.25704545454545,24.72290909090909,25.600558080808092,24.000464384100752,23.90080808080809,25.134735048901714,23.50404040404041,24.41353896103897,22.08376623376623,21.605555555555554,24.04545454545455,24.442857142857147
28,CA,24.77575757575757,23.236363636363635,23.15454545454545,23.29090909090909,23.536363636363635,21.077777777777786,22.454545454545453,22.318181818181817,21.92727272727273,12.644444444444444,17.075,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
29,AK,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,5.233333333333333,3.536363636363636,2.0700000000000003,5.262121212121212,1.231746031746032,3.351515151515152,4.954207792207791,6.037636363636364,4.7194285714285735,4.401226551226552,4.213311688311689,1.321875,13.283333333333335,-9.65,3.6016738816738822,3.984343434343433,2.859619047619048,4.339757575757576,4.01840909090909,4.506818181818182,4.313977272727273,4.106376623376623,3.80690909090909,4.270727272727274,3.935
30,TX,24.03642045454545,24.03554401154401,25.25236363636364,25.732124819624826,26.0693265993266,24.19017604617604,23.604350649350646,23.220707070707068,25.028842975206608,24.448798701298703,25.523335497835497,24.554231601731605,24.745950413223138,25.51879560915276,25.285400432900435,24.868152958152947,26.044418979713093,25.076019570707068,25.8034583934584,24.91048124098124,24.29313749742321,23.84073593073593,23.560225468975467,23.585217560217558,25.171317571317573,23.59969696969697,23.271294765840217,24.238339715839718,24.157427521972977,25.045311355311355,24.662329545454543,23.650633608815433,23.360041322314054,23.67983241505969,23.48506493506493,24.248989898989898,25.02774621212121,23.68860795454545,24.129027777777786,22.73530612244898
